,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
368,40,Yes,Travel_Rarely,,Sales,22,2,Marketing,1,492,,Male,68,2,2,,3,Married,6380,6110,2,Y,Yes,12,3,1,80,,,,3,6,4,1,0
369,31,No,Travel_Rarely,408,,9,4,Life Sciences,1,493,3,,42,2,1,Research Scientist,2,Single,2657,,0,Y,Yes,16,3,,80,0,3,5,3,2,2,,2
370,21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,,Female,90,4,1,Sales Representative,2,Single,2716,,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
371,29,No,Travel_Rarely,1283,,,,Life Sciences,1,495,4,Male,54,3,,Research Scientist,4,Single,,18168,9,,,16,3,4,80,0,6,4,,3,2,1,2
372,35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,,97,2,,Healthcare Representative,2,,,19394,9,,No,,3,3,80,0,10,5,,,1,0,
373,27,No,Travel_Rarely,1469,Research & Development,1,2,,1,497,4,,,3,1,Laboratory Technician,2,Divorced,3816,17881,1,Y,,11,3,,,,5,2,3,5,,,4
374,28,No,,304,Sales,9,,Life Sciences,1,498,2,Male,92,3,2,Sales Executive,4,Single,5253,,1,Y,No,16,3,4,80,0,7,1,,7,5,0,7
375,,No,Travel_Rarely,1261,,7,3,Other,1,,,,,2,3,Healthcare Representative,3,Single,,12066,,Y,,,4,3,80,0,26,2,3,5,2,0,0
376,51,No,Travel_Rarely,1178,Sales,,2,Life Sciences,,,3,Female,87,3,2,Sales Executive,4,Married,,14862,,,No,,3,3,,1,,2,2,7,7,,
377,,No,,,Research & Development,2,3,,1,501,4,Female,96,3,1,Research Scientist,3,Married,2543,,4,Y,No,13,3,,80,1,6,3,,2,2,2,2
378,,Yes,Non-Travel,1362,Sales,19,3,Marketing,,,1,,67,4,2,,4,,,4652,,Y,Yes,13,,2,80,0,,3,2,5,,0,4
379,55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,Female,,3,4,Manager,4,Single,16659,23258,,,Yes,13,3,3,80,0,,2,3,,4,1,2
380,24,No,Travel_Rarely,1371,,,4,Marketing,,507,4,Female,77,3,,Sales Executive,3,Divorced,4260,5915,1,,Yes,12,3,4,,,5,,4,5,2,,3
381,,No,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,,72,3,,Sales Representative,,Married,2476,,1,Y,No,18,3,1,80,1,1,3,3,,0,0,0
382,26,Yes,Travel_Frequently,575,Research & Development,3,1,,1,510,3,Male,,3,1,Research Scientist,,Single,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,,,,4
383,22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,,,,,4,80,1,2,1,3,2,1,,2
384,36,No,Travel_Rarely,164,Sales,2,2,Medical,1,513,,,61,,3,,3,Married,7596,,,,No,13,3,2,80,2,10,2,,,9,9,0
385,30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,Male,,3,1,,4,,2285,,9,,Yes,23,4,3,,0,3,4,3,,,0,0
386,37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,,12,3,3,80,1,18,2,2,18,,12,17
387,40,No,Travel_Rarely,759,Sales,,,Marketing,1,516,4,Female,,3,2,Sales Executive,2,,,22553,7,Y,No,12,3,3,80,2,8,5,,5,4,,3
388,42,No,Travel_Rarely,201,Research & Development,,4,,,517,2,,,3,1,Laboratory Technician,,Divorced,2576,20490,,Y,No,,3,,,1,8,5,3,5,2,1,
389,,No,Travel_Rarely,1305,,10,4,,1,518,3,Male,,3,2,,,Single,4197,21123,,Y,Yes,12,3,4,80,0,18,2,2,,0,,1
390,43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,,1,Male,59,,4,Research Director,2,,,4345,1,Y,,11,3,3,80,1,25,3,,25,10,3,9
391,40,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,,Female,,2,2,,,Married,3448,13436,6,,No,22,4,,80,1,20,,3,1,0,0,
392,54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,Male,86,3,,Research Director,1,Married,19406,8509,4,Y,No,11,3,,80,1,24,,2,4,2,1,2
393,34,No,Non-Travel,1381,Sales,4,4,,1,,3,Female,72,3,2,Sales Executive,,Married,6538,12740,9,Y,,15,,1,80,1,6,3,3,3,2,1,2
394,31,No,Travel_Rarely,480,Research & Development,7,,Medical,1,,2,Female,31,3,,Manufacturing Director,1,Married,4306,4156,1,Y,No,,3,,80,1,13,,,13,10,3,12
395,43,No,Travel_Frequently,313,,21,3,,1,525,,Male,61,,1,,,Married,2258,15238,7,Y,No,20,4,1,80,1,8,,3,3,2,1,2
396,43,No,,1473,Research & Development,8,4,Other,1,526,,Female,74,3,2,Healthcare Representative,3,,,2227,4,Y,Yes,,3,4,80,0,8,,3,5,2,0,2
397,25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,,,99,2,2,Sales Executive,4,Single,4487,12090,1,Y,Yes,11,3,,,0,,,,5,4,1,3
398,,No,,1063,Research & Development,25,5,Medical,,529,2,Female,72,,2,Research Scientist,3,Married,,23866,,,Yes,15,3,,80,2,15,,,,11,,7
399,31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,,4,,98,2,1,Laboratory Technician,1,,,16193,,Y,No,12,3,3,80,1,,3,3,4,2,,2
400,39,No,,1218,Research & Development,1,1,Life Sciences,,531,2,Male,,3,5,Manager,3,Divorced,19197,8213,1,Y,Yes,,3,,80,1,21,3,3,21,8,1,6
401,,No,Travel_Frequently,,Sales,6,3,Life Sciences,,,3,Female,86,,,Sales Executive,1,,13212,18256,9,,No,,3,4,,,,0,,,7,7,
402,30,No,,,Sales,12,3,Technical Degree,1,533,2,,83,,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,,6,3,5,,4,
403,,No,Travel_Rarely,,Sales,1,3,Marketing,1,,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,,10,2,3,10,7,0,
404,28,No,Travel_Rarely,,,17,2,Medical,1,536,3,Male,79,3,2,,1,Divorced,,13535,1,,No,12,3,4,80,1,,,3,10,,1,8
405,25,Yes,Travel_Rarely,,,3,3,Medical,,538,,Male,,,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,3,3,80,,6,5,3,2,2,0,2
406,,No,Travel_Rarely,,Research & Development,3,3,Medical,1,543,4,Male,39,2,,Manufacturing Director,3,Married,,19609,,Y,Yes,,,3,80,0,28,4,3,5,4,0,
407,45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,69,,1,Research Scientist,4,Married,,9655,3,,No,21,4,,80,,8,3,2,2,2,,2
408,52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,Female,,,4,Manager,4,Married,16555,10310,,Y,No,,3,4,80,0,31,2,,5,2,1,4
409,42,No,Travel_Frequently,532,Research & Development,29,2,,1,,,Female,92,3,2,Research Scientist,3,Divorced,,12932,,,No,,3,,80,1,,3,3,5,,0,2
410,30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,,43,,,Manufacturing Director,,Single,6091,24793,2,Y,No,20,4,3,,0,11,2,3,5,4,0,2
411,60,No,Travel_Rarely,422,Research & Development,7,,Life Sciences,1,549,1,Female,41,,5,Manager,1,Married,,,5,Y,No,11,3,4,80,0,33,5,,29,,11,10
412,46,No,Travel_Rarely,,Research & Development,18,,Medical,1,,,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,,Y,No,14,3,3,80,1,19,5,2,10,7,0,8
413,,No,Travel_Frequently,1368,Research & Development,,,Technical Degree,1,551,4,Female,,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,,4,80,,,4,4,6,5,0,4
414,24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,,3,1,Sales Representative,2,Single,3202,21972,,Y,,,3,2,80,0,6,,3,5,3,1,4
415,34,Yes,,296,Sales,6,2,Marketing,1,555,4,Female,33,1,,Sales Representative,3,Divorced,2351,12253,0,,No,16,3,,80,1,3,3,2,,2,1,0
416,38,No,,1490,Research & Development,2,,Life Sciences,1,556,4,,42,3,1,Laboratory Technician,4,,1702,12106,1,Y,,23,4,,80,1,1,3,3,1,0,0,0
417,40,No,Travel_Rarely,1398,Sales,2,,Life Sciences,,558,3,Female,,3,5,,3,Married,18041,13022,0,,No,14,3,,80,0,21,2,,20,15,1,12
418,,No,Travel_Rarely,1349,Research & Development,,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,,Y,No,22,4,2,80,,,3,1,3,2,0,2
419,30,No,Non-Travel,1400,Research & Development,3,3,,1,562,3,,,3,1,Laboratory Technician,4,Married,2097,16734,4,Y,No,,3,3,80,1,,,1,5,3,1,4
420,,No,Travel_Rarely,,,,4,Medical,1,564,2,Male,93,2,3,,3,Married,11935,21526,,Y,No,,,,,,10,2,3,10,2,0,7
421,,Yes,Travel_Rarely,408,,25,5,Technical Degree,,,3,Female,71,2,1,,2,,2546,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,,1
422,19,Yes,Travel_Rarely,489,Human Resources,,2,,,566,1,Male,52,2,1,Human Resources,4,Single,2564,,1,Y,No,12,3,,80,,1,3,4,1,0,,0
423,30,No,Non-Travel,1398,,,4,Other,1,567,3,Female,69,3,3,Sales Executive,,Married,8412,2890,0,,No,11,3,3,80,,10,,3,,8,,8
424,57,No,,,,29,3,Marketing,1,568,1,Male,56,2,4,,4,Divorced,14118,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0
425,50,No,,,Research & Development,29,4,Life Sciences,1,569,2,Male,,2,4,Manager,3,Married,,9314,0,Y,No,15,3,2,80,,28,2,3,27,10,15,7
426,30,No,Non-Travel,1116,,,3,Medical,1,,3,,49,3,1,Laboratory Technician,4,Single,2564,7181,,Y,No,14,3,3,80,0,12,2,2,11,7,6,
427,60,No,Travel_Frequently,1499,,28,3,,1,573,3,,80,2,3,Sales Executive,1,Married,10266,2845,4,Y,No,,3,4,80,,,5,4,18,13,,11
428,47,No,Travel_Rarely,,Research & Development,,2,Medical,1,,,Female,65,3,,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,,,20,2,3,5,0,,4
429,46,No,Travel_Rarely,1009,Research & Development,2,,Life Sciences,1,575,1,Male,51,3,4,Research Director,,Married,17861,2288,6,Y,,13,3,3,80,0,26,,1,3,2,0,1
430,35,No,Travel_Rarely,144,Research & Development,22,,Life Sciences,1,577,4,Male,46,1,1,,,Single,,19225,0,Y,No,15,3,,80,0,6,2,3,5,,,3
431,54,No,,548,,8,4,Life Sciences,1,578,3,Female,,3,,Laboratory Technician,,Single,3780,23428,7,Y,No,11,3,3,80,0,,,3,1,0,0,
432,34,No,,,Research & Development,2,4,Life Sciences,,579,4,Male,62,2,1,Research Scientist,3,Divorced,2768,,3,Y,No,12,3,3,80,1,,3,,7,3,5,7
433,46,No,Travel_Rarely,1125,Sales,,,Marketing,1,580,,Female,94,,3,Sales Executive,4,,,11563,,Y,,19,3,3,80,1,15,3,3,,2,,2
434,31,No,Travel_Rarely,1274,Research & Development,,1,,1,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,,No,,4,4,,1,,,4,13,8,0,8
435,33,Yes,,1277,Research & Development,15,1,Medical,1,582,2,Male,56,3,3,Manager,,Married,13610,24619,7,Y,,12,,,80,0,15,2,4,7,6,7,7
436,33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,1,Male,38,,,Laboratory Technician,4,,3408,,7,Y,,13,3,1,,3,8,2,,4,3,1,
437,30,No,Travel_Rarely,413,Sales,7,1,,,585,4,,57,3,1,Sales Representative,2,Single,2983,18398,0,,,14,3,1,80,,4,3,3,3,2,,2
438,,No,Travel_Rarely,1276,,16,,,1,586,4,Male,72,3,3,Healthcare Representative,3,Married,,,4,Y,,,3,3,80,0,10,2,,,,0,0
439,31,Yes,Travel_Frequently,534,,,3,,,587,,Male,66,3,3,Healthcare Representative,3,,9824,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0
440,34,Yes,Travel_Frequently,988,Human Resources,23,3,,,590,2,,43,3,3,Human Resources,1,,9950,,9,,Yes,15,3,,80,3,,2,3,3,2,0,
441,42,No,Travel_Frequently,1474,Research & Development,5,2,,1,591,2,,97,3,,Laboratory Technician,3,Married,2093,9260,4,Y,No,17,3,4,80,1,,4,3,2,,2,0
442,36,No,Non-Travel,635,,10,4,Medical,,592,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,,Y,,14,3,,80,0,10,3,2,10,,,7
443,22,Yes,Travel_Frequently,1368,,,,Technical Degree,1,,,Male,99,2,1,Laboratory Technician,3,,,9129,5,Y,,16,3,3,80,0,4,3,3,2,2,1,2
444,,No,Travel_Rarely,163,,,,Marketing,,595,2,Female,37,,2,Sales Executive,4,Married,,,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7
445,55,No,Travel_Rarely,,Sales,18,5,,1,597,1,Female,83,3,4,Manager,2,Single,,9873,3,Y,,23,4,,80,0,37,2,3,10,9,,
446,41,No,Non-Travel,267,Sales,,2,Life Sciences,1,599,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,,3,,80,0,16,3,3,14,3,1,10
447,35,No,Travel_Rarely,619,Sales,1,3,,1,600,,,85,3,,Sales Executive,3,Married,4717,18659,9,Y,,,3,3,80,0,,2,3,,9,6,
448,,No,Travel_Rarely,302,Research & Development,6,3,,1,601,,Female,,3,4,Manufacturing Director,3,Single,13237,20364,,,,15,3,3,80,0,22,,,20,6,,
449,,No,Travel_Frequently,443,Research & Development,8,,Life Sciences,1,602,3,Female,48,3,,Laboratory Technician,3,Married,3755,17872,,Y,,11,3,1,80,1,8,3,3,8,3,0,7
450,31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,1,,2,Male,77,,2,Sales Executive,4,Single,6582,8346,,,,13,3,3,80,0,10,2,4,6,5,0,5
451,42,No,Travel_Rarely,319,,24,3,Medical,1,605,,Male,56,3,3,Manufacturing Director,,Married,7406,6950,1,Y,Yes,21,4,4,80,1,,5,,10,9,,
452,45,No,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,61,3,2,Sales Executive,,Married,,16177,,Y,No,,3,,80,1,9,3,4,8,,3,7
453,,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,,Female,58,,1,Human Resources,3,Divorced,,22808,0,Y,Yes,11,3,2,80,1,8,2,,7,7,1,0
454,29,No,Travel_Rarely,232,,19,,Technical Degree,1,611,4,Male,34,3,2,Manufacturing Director,4,,4262,22645,4,Y,No,,3,2,80,2,8,,4,3,2,1,2
455,33,No,Travel_Rarely,922,,1,5,Medical,1,612,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,,Y,,19,,3,80,1,,2,3,6,,,5
456,,No,Travel_Rarely,,,7,,Life Sciences,1,613,3,,44,2,3,Manager,4,Divorced,11557,25291,9,Y,No,21,4,3,80,1,,3,2,,4,0,
457,18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,,Male,69,,1,Sales Representative,2,Single,1878,,,Y,Yes,14,3,4,80,0,,3,3,,0,0,0
458,40,No,Non-Travel,1094,Sales,28,3,Other,1,615,3,Male,58,1,3,Sales Executive,1,Divorced,10932,,3,Y,,,,3,80,1,20,2,3,1,0,,1
459,41,No,,509,Research & Development,2,4,Other,1,,,Female,62,2,2,Healthcare Representative,,,6811,2112,,,Yes,17,3,,80,0,10,3,3,,,,7
460,,No,,775,Sales,29,2,Medical,1,618,1,,45,3,2,Sales Executive,3,Divorced,4306,4267,,,No,12,3,1,80,2,8,,3,0,0,0,0
461,35,No,Travel_Rarely,,Sales,,,Medical,1,620,1,Female,80,3,2,,3,Single,,6698,1,Y,,,3,4,80,0,5,3,3,,4,0,3
462,34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,1,,4,Male,74,4,,,4,Single,5337,19921,1,Y,No,,3,4,,0,10,3,,10,7,5,7
463,26,Yes,,471,,24,,Technical Degree,1,,3,Male,,1,,Laboratory Technician,,Single,2340,,1,Y,,18,3,2,80,,1,3,1,1,,0,0
464,37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,,Female,,,3,Manufacturing Director,4,,7491,23848,4,,No,17,3,4,80,0,12,3,4,6,5,1,2
465,46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,1,624,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,5,,No,11,3,4,,0,28,3,2,2,2,1,2
466,41,No,Travel_Rarely,1276,Sales,2,5,,,,2,Female,91,3,4,,1,Married,16595,5626,,Y,No,,,2,80,1,22,,3,18,16,,
467,37,No,Non-Travel,142,Sales,9,4,Medical,1,626,1,Male,69,3,3,Sales Executive,2,Divorced,,24666,1,Y,,,3,4,,1,,6,3,9,5,7,7
468,52,No,,956,Research & Development,,2,Technical Degree,1,630,4,Male,78,3,,Research Scientist,1,Divorced,,22087,3,,Yes,,3,2,80,2,18,3,,10,9,6,9
469,32,Yes,,,Sales,,4,Other,1,631,,Male,,4,2,Sales Executive,3,,4707,23914,8,Y,,12,3,4,80,0,6,,3,,2,1,2
470,24,No,Travel_Frequently,535,Sales,,,Medical,,,4,Male,38,3,1,,4,Married,2400,5530,0,Y,No,13,3,3,80,,,3,3,,2,2,1
471,,No,Travel_Rarely,1495,Research & Development,10,3,Medical,1,,3,,,3,,Healthcare Representative,3,Married,9824,22174,3,Y,No,19,3,3,80,1,18,4,,1,0,0,0
472,37,No,Travel_Rarely,,Research & Development,1,4,Life Sciences,1,635,2,,65,3,2,Manufacturing Director,,Married,,15701,6,Y,No,12,,2,80,1,8,2,2,6,5,4,3
473,49,No,,1245,Research & Development,18,4,,1,638,4,Male,58,2,5,Research Director,3,Divorced,19502,,1,Y,Yes,17,3,,,1,,5,3,,,,9
474,24,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,,2,Male,89,,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,,,5,1,
475,26,No,Travel_Rarely,703,,28,2,,1,641,1,Male,66,3,,Sales Executive,2,,6272,7428,,,No,20,4,,,2,,5,4,5,3,1,4
476,,No,Travel_Rarely,823,Research & Development,17,2,Other,1,,4,Male,94,2,1,Laboratory Technician,,Married,2127,9100,,Y,No,21,4,4,,,1,2,3,,0,0,
477,50,No,Travel_Frequently,,Human Resources,3,,Medical,,644,1,Male,99,3,5,Manager,2,Married,,,,Y,No,,3,3,80,1,32,2,,32,5,10,7
478,25,No,,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,,,Married,2096,,1,Y,,,,,80,0,7,,3,,4,0,6
479,24,Yes,,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,,1,Laboratory Technician,3,Married,2886,14168,1,Y,Yes,,3,,80,1,6,4,3,6,,1,
480,30,Yes,Travel_Frequently,,,12,4,Life Sciences,1,648,2,Male,74,2,1,,1,Married,2033,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0
481,34,No,Travel_Rarely,254,Research & Development,1,,Life Sciences,1,649,2,Male,,2,1,Research Scientist,4,Married,3622,22794,1,Y,Yes,13,3,4,,1,,3,3,6,5,1,
482,31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,1,650,2,Male,46,,2,Sales Executive,1,Divorced,4233,11512,2,,,17,,,80,0,9,,1,3,1,1,2
483,35,No,Travel_Rarely,538,,25,,,1,652,1,Male,54,2,2,Laboratory Technician,4,Single,3681,14004,,Y,No,,3,,,0,9,3,,3,2,0,2
484,31,No,Travel_Rarely,,,6,4,Medical,1,653,,,66,4,,Sales Executive,,Divorced,,6219,4,Y,,22,4,4,80,,13,4,4,7,,,7
485,,No,Travel_Rarely,798,,6,4,,1,655,1,Female,66,2,1,Research Scientist,3,Divorced,2187,5013,,Y,No,12,,3,80,2,6,5,2,5,3,0,3
486,37,No,Travel_Rarely,558,Sales,2,3,Marketing,1,656,4,Male,75,3,2,Sales Executive,3,Married,9602,,4,Y,,11,,3,80,1,17,3,2,,0,,0
487,,No,Travel_Rarely,,,1,3,Life Sciences,1,657,4,,83,2,1,,2,Single,2836,11757,1,Y,,13,3,4,80,,1,0,,1,0,0,0
488,42,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,1,659,3,Female,81,,2,,4,,,5718,1,Y,,,,,80,2,,4,3,10,2,2,2
489,43,No,Travel_Rarely,782,Research & Development,6,,,,661,2,Male,50,2,4,,4,Divorced,16627,2671,4,Y,Yes,14,,3,80,1,21,3,,1,0,0,0
490,,No,Travel_Rarely,362,Research & Development,1,1,,1,662,3,,43,3,1,,1,Single,2619,14561,3,Y,No,17,3,4,80,0,8,3,2,0,0,,
491,43,No,Travel_Frequently,1001,,9,5,Medical,1,663,4,,72,3,2,Laboratory Technician,,Divorced,5679,19627,3,,Yes,13,3,2,80,1,10,3,3,8,7,,7
492,48,No,Travel_Rarely,1236,Research & Development,1,,Life Sciences,1,664,4,Female,40,2,,Manager,1,Married,15402,,,Y,,11,3,1,80,1,21,,1,,2,0,2
493,44,No,,1112,Human Resources,,4,Life Sciences,1,665,1,Female,50,2,2,Human Resources,3,,5985,26894,4,Y,No,,3,2,80,,10,1,,2,2,0,2
494,34,No,,204,Sales,14,3,Technical Degree,1,666,3,Female,,,,Sales Representative,3,Divorced,,,,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6
495,,Yes,,1420,Sales,2,1,Marketing,1,667,3,Male,85,,1,Sales Representative,1,Divorced,3041,16346,0,Y,No,11,3,2,,,5,,3,4,3,,2
496,21,No,Travel_Rarely,,Sales,22,1,Technical Degree,,669,3,Male,,3,1,Sales Representative,3,Single,,24444,1,Y,No,11,3,3,80,0,3,2,,,2,1,
497,44,No,Travel_Rarely,1315,Research & Development,3,4,Other,,671,4,,35,3,5,Manager,4,Married,,9358,4,,Yes,12,3,1,80,1,26,2,4,2,2,0,1
498,22,No,Travel_Rarely,604,Research & Development,6,,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773,12145,0,Y,No,20,,4,80,0,3,3,,,2,2,2
499,,No,,1216,Sales,,4,,1,677,3,Male,39,3,2,,,Divorced,,20431,0,Y,No,,3,4,80,0,,3,3,5,0,1,2
500,32,No,,,Research & Development,9,4,Life Sciences,1,,1,,,,2,Research Scientist,4,Married,6322,18089,1,Y,,,3,4,80,1,6,2,2,,,,5
501,30,No,Travel_Frequently,160,Research & Development,3,,Medical,1,680,3,Female,71,3,1,Research Scientist,3,Divorced,2083,22653,1,,No,,,3,,,1,2,3,1,0,0,0
502,53,No,Travel_Rarely,238,Sales,1,1,Medical,1,,4,Female,34,3,2,Sales Executive,1,Single,8381,7507,7,,No,,4,,80,0,,2,4,14,7,,10
503,34,No,Travel_Rarely,1397,Research & Development,,,Life Sciences,1,683,2,Male,42,3,1,Research Scientist,4,Married,2691,7660,1,Y,No,12,3,4,80,,10,4,2,10,9,8,
504,45,Yes,Travel_Frequently,306,Sales,26,4,Life Sciences,1,684,1,,100,3,2,Sales Executive,1,,4286,5630,2,,No,14,3,4,80,2,,4,3,,1,0,
505,26,No,Travel_Rarely,991,Research & Development,6,3,Life Sciences,1,686,3,Female,71,3,1,Laboratory Technician,,Married,2659,17759,1,Y,Yes,13,,3,80,1,3,,3,3,2,0,2
506,37,No,Travel_Rarely,482,Research & Development,3,3,,1,689,3,Male,36,3,3,Manufacturing Director,3,,9434,9606,1,Y,No,15,3,,80,1,10,2,3,10,7,7,8
507,29,No,Travel_Rarely,1176,Sales,,2,Medical,,690,,,62,3,2,,3,Married,,3487,1,Y,,,,,80,1,6,5,2,6,0,1,2
508,35,No,Travel_Rarely,,Research & Development,6,4,Life Sciences,1,,2,Male,82,1,2,Research Scientist,4,Single,6646,,1,Y,No,13,,2,80,0,17,3,3,17,11,11,8
509,33,No,,1296,Research & Development,6,,Life Sciences,,692,,Male,30,3,2,Healthcare Representative,,Divorced,7725,5335,3,Y,No,23,4,3,,1,15,2,,13,11,,7
510,54,No,Travel_Rarely,397,Human Resources,19,4,,1,698,3,,88,3,3,Human Resources,2,,10725,6729,,Y,No,15,3,3,80,1,16,1,4,9,7,7,
511,36,No,Travel_Rarely,913,Research & Development,9,2,Medical,1,,2,Male,48,2,2,Manufacturing Director,2,Divorced,8847,,2,Y,Yes,11,3,3,80,1,,2,3,3,2,,2
512,27,No,Travel_Rarely,1115,,3,,,1,700,1,Male,54,,,,4,Single,2045,15174,0,,,13,3,4,,0,5,0,3,4,2,,1
513,20,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,1,701,4,Male,32,3,1,Research Scientist,,Single,1009,,1,,Yes,11,3,4,80,,,5,3,,0,1,1
514,33,Yes,Travel_Frequently,,Research & Development,3,3,Life Sciences,1,702,1,Male,70,3,1,Research Scientist,,Single,3348,3164,,Y,,11,3,1,80,0,10,3,3,10,8,,7
515,35,No,Non-Travel,727,,3,3,Life Sciences,1,704,3,,,,1,Laboratory Technician,3,Married,1281,16900,1,,No,18,3,3,80,2,1,3,3,1,0,0,0
516,23,No,Travel_Rarely,885,,4,,Medical,1,705,1,Male,58,4,,,1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,,2,0,2
517,,No,Travel_Rarely,810,Sales,,3,,1,,4,Male,57,4,2,,2,Married,4851,15678,,Y,No,22,4,3,80,1,4,4,3,3,2,1,2
518,38,No,Travel_Rarely,243,,7,,Marketing,1,709,,Female,46,2,,Sales Executive,,,4028,7791,0,Y,No,20,4,1,80,,8,2,3,7,7,,
519,29,No,Travel_Frequently,806,Research & Development,1,4,Life Sciences,1,710,2,,76,1,1,,4,Divorced,2720,18959,1,Y,No,18,3,4,80,1,10,5,3,10,,2,8
520,48,No,,817,Sales,2,1,Marketing,1,712,2,,,4,2,Sales Executive,2,Married,8120,18597,3,,No,12,3,,80,0,,3,3,2,2,2,2
521,27,No,Travel_Frequently,,Sales,3,1,Medical,1,714,4,Female,71,,2,Sales Executive,,Divorced,4647,16673,1,Y,Yes,20,4,2,80,,6,3,3,6,5,0,
522,37,No,,1225,,,2,Life Sciences,1,715,4,,80,,1,Research Scientist,4,,4680,15232,3,Y,No,17,3,1,80,0,4,2,3,,0,,0
523,50,No,Travel_Rarely,1207,Research & Development,28,1,,1,716,4,,74,4,1,Laboratory Technician,3,Married,,,1,,Yes,11,3,,80,,,,3,20,8,3,8
524,34,No,Travel_Rarely,,Research & Development,9,3,,1,717,4,Female,,2,3,Healthcare Representative,2,Single,8621,17654,,,No,14,3,2,80,0,9,3,,8,7,7,
525,24,Yes,Travel_Rarely,693,Sales,3,2,,1,720,1,Female,65,3,2,Sales Executive,3,,4577,24785,9,,,,3,1,80,,4,3,,,2,2,0
526,39,No,Travel_Rarely,408,Research & Development,,4,Technical Degree,1,721,,Female,80,,2,Healthcare Representative,3,,4553,,,Y,No,11,3,1,80,,,,3,20,,11,10
